VERTEX: 0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
VERTEX: 1  0.00043021 0.000417488  0.00527768 0.00373952 0.000794565 0.0522704 0.998626
VERTEX: 2 -0.00244946   0.0026319   0.0187074 0.00793377 0.0018297 0.116545 0.993152
VERTEX: 3 -0.00658293  0.00490651   0.0296549 0.0119473 0.00259886 0.179824 0.983623
VERTEX: 4 -0.0117537  0.0117265  0.0399373 0.01577 0.00331496 0.262325 0.964845
VERTEX: 5 -0.0173274  0.0178113  0.0503703 0.0192982 0.00393699 0.333006 0.942719
VERTEX: 6 -0.0217493  0.0197398  0.0578472 0.0234659 0.00458641 0.403215 0.914793
VERTEX: 7 -0.0282395   0.020336  0.0678714 0.0275682 0.00534518 0.470044 0.882196
VERTEX: 8 -0.037493  0.024171 0.0744848 0.0293736 0.0053131 0.516995 0.855468
VERTEX: 9 -0.0564826  0.0222422  0.0913178 0.0318182 0.00582658 0.570663 0.820547
VERTEX: 10 -0.225034  0.421234 0.0722533 0.0223865 0.00183139 0.519313 0.854289
VERTEX: 11  0.158882  0.788315 0.0277832 0.025713 0.00433235 0.53397 0.845101
VERTEX: 12  0.158625  0.790123 0.0413672 0.0284561 0.00525915 0.585086 0.810455
VERTEX: 13  0.158546  0.787298 0.0472752 0.031281 0.00585403 0.63418 0.77253
VERTEX: 14  0.156237  0.784001 0.0541855 0.0343435 0.00638814 0.686307 0.726472
VERTEX: 15    0.550704     1.56825 -0.00548203 0.0413205 0.0107309 0.746066 0.664501
VERTEX: 16    0.551604     1.56335 0.000138234 0.0434461 0.0108271 0.780272 0.623836
VERTEX: 17   0.347501    2.43973 -0.0087638 0.0491835 0.0100992 0.864948 0.499343
VERTEX: 18    0.35484    2.44771 -0.0217442 0.046381 0.0104859 0.808899 0.586022
VERTEX: 19   0.367245    2.45155 -0.0351347 0.0445718 0.0108348 0.765413 0.641902
VERTEX: 20   0.368677    2.45164 -0.0418781 0.04157 0.010306 0.724546 0.687894
VERTEX: 21   0.386528    2.44531 -0.0452894 0.0656187 -0.0274362 0.615914 0.784596
VERTEX: 22   0.385036    2.44361 -0.0466972 0.0432162 0.000389029 0.616941 0.785821
VERTEX: 23   0.383128    2.44633 -0.0542873 0.00605084 0.0450971 0.617267 0.785437
VERTEX: 24   0.389082    2.44412 -0.0545495 -0.0278037 0.0864215 0.616135 0.782391
VERTEX: 25   0.390541    2.44321 -0.0592413 -0.0478863 0.111165 0.614395 0.779659
EDGE: 0 1  0.00043021 0.000417488  0.00527768 0.00373952 0.000794565 0.0522704 0.998626
EDGE: 1 2 -0.00264881  0.00260428   0.0134073 0.00421199 0.00105918 0.0644716 0.99791
EDGE: 2 3 -0.00351407  0.00334647   0.0108885 0.00403555 0.000815616 0.0639577 0.997944
EDGE: 3 4 -0.00243163  0.00845717   0.0100767 0.00389872 0.00105144 0.0845283 0.996413
EDGE: 4 5 -0.00170612  0.00840075   0.0101713 0.00368205 0.000862587 0.074002 0.997251
EDGE: 5 6 -0.00218929  0.00456676  0.00731632 0.00440773 0.000689202 0.0754908 0.997137
EDGE: 6 7  -0.003834  0.0056556 0.00981208 0.0045171 0.000757726 0.0742793 0.997227
EDGE: 7 8 -0.00187337    0.010161  0.00610859 0.0020635 0.000560322 0.053994 0.998539
EDGE: 8 9 -0.0101857  0.0168353    0.01614 0.00309732 0.000937396 0.063963 0.997947
EDGE: 9 10   0.314539   0.294981 -0.0449379 -0.0107934 0.000273615 -0.0613178 0.99806
EDGE: 10 11   0.501681  -0.173678 -0.0476397 0.00431944 0.000753965 0.0172424 0.999842
EDGE: 11 12  0.0017953 0.00165971  0.0134863 0.0034825 0.000782924 0.0616855 0.998089
EDGE: 12 13  -0.00255956 -0.000502366   0.00600775 0.00345847 0.00042582 0.0619758 0.998072
EDGE: 13 14 -0.00347076  0.00200855  0.00691868 0.00384018 0.000370688 0.0694807 0.997576
EDGE: 14 15   0.802948  -0.353068 -0.0695221 0.00979562 0.000814677 0.0858397 0.99626
EDGE: 15 16 -0.00470144 7.87995e-05  0.00585886 0.00279753 0.00032793 0.0530877 0.998586
EDGE: 16 17   0.897989 0.00382247 -0.0581596 0.00750316 9.59161e-05 0.150056 0.988649
EDGE: 17 18 0.00228646 -0.0111967 -0.0124692 -0.00476205 -0.00101493 -0.103008 0.994669
EDGE: 18 19 -0.00102978  -0.0139042  -0.0123902 -0.00291385 -0.000934949 -0.07072 0.997491
EDGE: 19 20 -0.000529187  -0.00191897   -0.0066008 -0.00393874 -0.000361628 -0.0614446 0.998103
EDGE: 20 21 -0.00736823  -0.0176872  -0.0018029 -0.0137034 -0.0488995 -0.142976 0.988423
EDGE: 21 22 -0.00216403 0.000956409 -0.00121812 -0.000491186 0.0357306 -0.00116021 0.999361
EDGE: 22 23  0.00178035  0.00196968 -0.00784803 -0.00160657 0.0580756 -0.00145347 0.99831
EDGE: 23 24 -0.000736162  -0.00631345  0.000103114 -0.00101299 0.0534855 -0.000785745 0.998568
EDGE: 24 25  0.00025452 -0.00192574 -0.00460331 -0.000392668 0.032017 -0.000725976 0.999487
EDGE: 2 0  0.00426502 -0.00908314   -0.025005 -0.00754503 -0.00209301 -0.116502 0.99316
EDGE: 3 1 0.00377071 -0.0144718 -0.0259251 -0.00748872 -0.00213566 -0.127842 0.991764
EDGE: 4 2 0.00140463 -0.0213737 -0.0253016 -0.00782205 -0.00217328 -0.147775 0.988988
EDGE: 5 3 0.00345667 -0.0199468 -0.0279775 -0.00690202 -0.00254698 -0.158001 0.987412
EDGE: 6 4 0.00299528 -0.0196929 -0.0218868 -0.00796371 -0.00184359 -0.148776 0.988837
EDGE: 9 7 -0.00596512  -0.0152528  -0.0162114 -0.00546477 -0.00134581 -0.118115 0.992984
